資料期別,縣市,本季購置住宅貸款違約率(%),download_timestamp,process_timestamp
098Q3,基隆市,2.28,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q3,連江縣,0.0,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q3,雲林縣,1.62,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q3,新北市,0.73,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q3,新竹市,0.9,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q3,新竹縣,1.01,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q3,嘉義市,1.23,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q3,嘉義縣,1.77,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q3,彰化縣,1.51,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q3,澎湖縣,0.58,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,全國,0.84,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,台中市,0.49,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,台中縣,1.03,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,台北市,0.34,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,台東縣,2.09,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,台南市,0.77,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,台南縣,0.7,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,宜蘭縣,1.06,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,花蓮縣,1.4,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,金門縣,0.68,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,南投縣,2.51,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,屏東縣,1.8,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,苗栗縣,1.59,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,桃園市,1.81,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,高雄市,1.18,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
098Q4,高雄縣,1.84,2026-07-02 11:51:38 CST,2026-07-02 11:51:38 CST
