資料期別,縣市,建物買賣移轉登記棟數
102Q2,台東縣,447.0
102Q2,台南市,6543.0
102Q2,宜蘭縣,1727.0
102Q2,花蓮縣,1408.0
102Q2,金門縣,106.0
102Q2,南投縣,904.0
102Q2,屏東縣,1544.0
102Q2,苗栗縣,1728.0
102Q2,桃園市,14594.0
102Q2,高雄市,12251.0
102Q2,基隆市,1955.0
102Q2,連江縣,0.0
102Q2,雲林縣,1083.0
102Q2,新北市,21725.0
102Q2,新竹市,2335.0
102Q2,新竹縣,3168.0
102Q2,嘉義市,999.0
102Q2,嘉義縣,926.0
102Q2,彰化縣,1847.0
102Q2,澎湖縣,105.0
102Q3,全國,96173.0
102Q3,台中市,14084.0
102Q3,台北市,9918.0
102Q3,台東縣,542.0
102Q3,台南市,5439.0
102Q3,宜蘭縣,1832.0
102Q3,花蓮縣,1364.0
102Q3,金門縣,46.0
102Q3,南投縣,790.0
102Q3,屏東縣,1426.0
102Q3,苗栗縣,1410.0
102Q3,桃園市,13215.0
102Q3,高雄市,11290.0
102Q3,基隆市,2779.0
102Q3,連江縣,0.0
102Q3,雲林縣,897.0
102Q3,新北市,21320.0
102Q3,新竹市,2956.0
102Q3,新竹縣,2998.0
102Q3,嘉義市,929.0
102Q3,嘉義縣,719.0
102Q3,彰化縣,2144.0
102Q3,澎湖縣,75.0
102Q4,全國,96089.0
102Q4,台中市,14803.0
102Q4,台北市,9531.0
102Q4,台東縣,422.0
102Q4,台南市,6020.0
102Q4,宜蘭縣,1878.0
102Q4,花蓮縣,1274.0
102Q4,金門縣,76.0
102Q4,南投縣,933.0
102Q4,屏東縣,1463.0
102Q4,苗栗縣,1587.0
102Q4,桃園市,12349.0
102Q4,高雄市,10761.0
102Q4,基隆市,2435.0
102Q4,連江縣,0.0
102Q4,雲林縣,1159.0
102Q4,台北縣,21165.0
102Q4,新竹市,2946.0
102Q4,新竹縣,3087.0
102Q4,嘉義市,1079.0
102Q4,嘉義縣,822.0
102Q4,彰化縣,2206.0
102Q4,澎湖縣,93.0
103Q1,全國,78812.0
103Q1,台中市,11230.0
103Q1,台北市,8214.0
103Q1,台東縣,359.0
103Q1,台南市,4858.0
103Q1,宜蘭縣,1809.0
103Q1,花蓮縣,1009.0
103Q1,金門縣,158.0
103Q1,南投縣,778.0
103Q1,屏東縣,1329.0
103Q1,苗栗縣,1622.0
103Q1,桃園市,10556.0
103Q1,高雄市,9909.0
103Q1,基隆市,1474.0
103Q1,連江縣,1.0
103Q1,雲林縣,935.0
103Q1,新北市,14745.0
103Q1,新竹市,2170.0
103Q1,新竹縣,4331.0
103Q1,嘉義市,782.0
103Q1,嘉義縣,710.0
103Q1,彰化縣,1755.0
103Q1,澎湖縣,78.0
103Q2,全國,85850.0
103Q2,台中市,12288.0
103Q2,台北市,8480.0
103Q2,台東縣,452.0
103Q2,台南市,5848.0
103Q2,宜蘭縣,1939.0
103Q2,花蓮縣,1283.0
103Q2,金門縣,78.0
103Q2,南投縣,886.0
103Q2,屏東縣,1472.0
103Q2,苗栗縣,1765.0
103Q2,桃園市,12112.0
103Q2,高雄市,10530.0
103Q2,基隆市,1898.0
103Q2,連江縣,
103Q2,雲林縣,939.0
103Q2,新北市,16501.0
103Q2,新竹市,2682.0
103Q2,新竹縣,3185.0
103Q2,嘉義市,887.0
103Q2,嘉義縣,716.0
103Q2,彰化縣,1851.0
103Q2,澎湖縣,58.0
103Q3,全國,76466.0
103Q3,台中市,11869.0
103Q3,台北市,7510.0
103Q3,台東縣,399.0
103Q3,台南市,4941.0
103Q3,宜蘭縣,1666.0
103Q3,花蓮縣,1147.0
103Q3,金門縣,51.0
103Q3,南投縣,724.0
103Q3,屏東縣,1428.0
103Q3,苗栗縣,1206.0
103Q3,桃園市,10057.0
103Q3,高雄市,8923.0
103Q3,基隆市,1641.0
103Q3,連江縣,
103Q3,雲林縣,1055.0
103Q3,新北市,14846.0
103Q3,新竹市,3016.0
103Q3,新竹縣,2628.0
103Q3,嘉義市,730.0
103Q3,嘉義縣,681.0
103Q3,彰化縣,1861.0
103Q3,澎湖縣,87.0
103Q4,全國,79470.0
103Q4,台中市,12500.0
103Q4,台北市,7819.0
103Q4,台東縣,431.0
103Q4,台南市,4905.0
103Q4,宜蘭縣,2035.0
103Q4,花蓮縣,1121.0
103Q4,金門縣,69.0
103Q4,南投縣,746.0
103Q4,屏東縣,1279.0
103Q4,苗栗縣,1562.0
103Q4,桃園市,10937.0
103Q4,高雄市,9453.0
103Q4,基隆市,1707.0
103Q4,連江縣,
103Q4,雲林縣,1125.0
103Q4,新北市,14324.0
103Q4,新竹市,1931.0
103Q4,新竹縣,3639.0
103Q4,嘉義市,918.0
103Q4,嘉義縣,904.0
103Q4,彰化縣,1964.0
103Q4,澎湖縣,101.0
104Q1,全國,63477.0
104Q1,台中市,9838.0
104Q1,台北市,6478.0
104Q1,台東縣,392.0
104Q1,台南市,4391.0
104Q1,宜蘭縣,1615.0
104Q1,花蓮縣,923.0
104Q1,金門縣,92.0
104Q1,南投縣,759.0
104Q1,屏東縣,1385.0
104Q1,苗栗縣,1084.0
104Q1,桃園市,8132.0
104Q1,高雄市,7847.0
104Q1,基隆市,1190.0
104Q1,連江縣,2.0
104Q1,雲林縣,991.0
104Q1,新北市,11036.0
104Q1,新竹市,1993.0
104Q1,新竹縣,2243.0
104Q1,嘉義市,692.0
104Q1,嘉義縣,686.0
104Q1,彰化縣,1620.0
104Q1,澎湖縣,88.0
104Q2,全國,70771.0
104Q2,台中市,10521.0
104Q2,台北市,6583.0
104Q2,台東縣,664.0
104Q2,台南市,4850.0
104Q2,宜蘭縣,1581.0
104Q2,花蓮縣,1088.0
104Q2,金門縣,68.0
104Q2,南投縣,770.0
104Q2,屏東縣,1451.0
104Q2,苗栗縣,1130.0
104Q2,桃園市,9394.0
104Q2,高雄市,8657.0
104Q2,基隆市,1256.0
104Q2,連江縣,
104Q2,雲林縣,1182.0
104Q2,新北市,12497.0
104Q2,新竹市,2988.0
104Q2,新竹縣,2671.0
104Q2,嘉義市,727.0
104Q2,嘉義縣,808.0
104Q2,彰化縣,1825.0
104Q2,澎湖縣,60.0
104Q3,全國,64850.0
104Q3,台中市,9194.0
104Q3,台北市,6572.0
104Q3,台東縣,461.0
104Q3,台南市,4596.0
104Q3,宜蘭縣,1241.0
104Q3,花蓮縣,1049.0
104Q3,金門縣,244.0
104Q3,南投縣,659.0
104Q3,屏東縣,1501.0
104Q3,苗栗縣,1260.0
104Q3,桃園市,8341.0
104Q3,高雄市,8169.0
104Q3,基隆市,1253.0
104Q3,連江縣,2.0
104Q3,雲林縣,869.0
104Q3,新北市,11401.0
104Q3,新竹市,2396.0
104Q3,新竹縣,2296.0
104Q3,嘉義市,770.0
104Q3,嘉義縣,632.0
104Q3,彰化縣,1891.0
104Q3,澎湖縣,53.0
104Q4,全國,93452.0
104Q4,台中市,14694.0
104Q4,台北市,10271.0
104Q4,台東縣,488.0
104Q4,台南市,7258.0
104Q4,宜蘭縣,2301.0
104Q4,花蓮縣,1046.0
104Q4,金門縣,203.0
104Q4,南投縣,951.0
104Q4,屏東縣,1712.0
104Q4,苗栗縣,1717.0
104Q4,桃園市,12256.0
104Q4,高雄市,10172.0
104Q4,基隆市,1537.0
104Q4,連江縣,
104Q4,雲林縣,1164.0
104Q4,新北市,15513.0
104Q4,新竹市,3072.0
104Q4,新竹縣,4542.0
104Q4,嘉義市,895.0
104Q4,嘉義縣,1109.0
104Q4,彰化縣,2408.0
104Q4,澎湖縣,143.0
105Q1,全國,43290.0
105Q1,台中市,6389.0
105Q1,台北市,3978.0
105Q1,台東縣,300.0
105Q1,台南市,3148.0
105Q1,宜蘭縣,841.0
105Q1,花蓮縣,537.0
105Q1,金門縣,152.0
105Q1,南投縣,439.0
105Q1,屏東縣,1006.0
105Q1,苗栗縣,818.0
105Q1,桃園市,6106.0
105Q1,高雄市,5713.0
105Q1,基隆市,1116.0
105Q1,連江縣,
105Q1,雲林縣,619.0
105Q1,新北市,7109.0
105Q1,新竹市,1205.0
105Q1,新竹縣,1691.0
105Q1,嘉義市,493.0
105Q1,嘉義縣,519.0
105Q1,彰化縣,1061.0
105Q1,澎湖縣,50.0
105Q2,全國,65399.0
105Q2,台中市,8708.0
105Q2,台北市,5220.0
105Q2,台東縣,309.0
105Q2,台南市,4259.0
105Q2,宜蘭縣,1318.0
105Q2,花蓮縣,719.0
105Q2,金門縣,213.0
105Q2,南投縣,568.0
105Q2,屏東縣,1157.0
105Q2,苗栗縣,1014.0
105Q2,桃園市,12053.0
105Q2,高雄市,8486.0
105Q2,基隆市,2708.0
105Q2,連江縣,1.0
105Q2,雲林縣,860.0
105Q2,新北市,10681.0
105Q2,新竹市,1964.0
105Q2,新竹縣,2407.0
105Q2,嘉義市,554.0
105Q2,嘉義縣,622.0
105Q2,彰化縣,1519.0
105Q2,澎湖縣,59.0
105Q3,全國,67206.0
105Q3,台中市,8165.0
105Q3,台北市,6622.0
105Q3,台東縣,262.0
105Q3,台南市,4332.0
105Q3,宜蘭縣,1400.0
105Q3,花蓮縣,696.0
105Q3,金門縣,118.0
105Q3,南投縣,548.0
105Q3,屏東縣,1095.0
105Q3,苗栗縣,1376.0
105Q3,桃園市,9453.0
105Q3,高雄市,8120.0
